Nom.officiel.du.satellite;Organisation.de.pays.du.registre.de.l'ONU;Opérateur.propriétaire;Pays.de.l'opérateur.propriétaire;Utilisateurs;Objectif;Date.de.lancement;fournisseur;Pays.du.fournisseur;Site.de.lancement;Véhicule.de.lancement
AAUSat-4;NR;University of Aalborg;Denmark;Civil;Earth Observation;4/25/2016;University of Aalborg;Denmark;Guiana Space Center;Soyuz 2.1a
ABS-2;NR;Asia Broadcast Satellite Ltd.;Multinational;Commercial;Communications;2/6/2014;Space Systems/Loral;USA;Guiana Space Center;Ariane  5 ECA
ABS-2A;NR;Asia Broadcast Satellite Ltd.;Multinational;Commercial;Communications;6/15/2016;Boeing Satellite Systems;USA;Cape Canaveral;Falcon 9
ABS-3;Philippines;Asia Broadcast Satellite Ltd.;Multinational;Commercial;Communications;8/19/1997;Space Systems/Loral;USA;Xichang Satellite Launch Center;Long March CZ3B
ABS-3A;NR;Asia Broadcast Satellite Ltd.;Multinational;Commercial;Communications;3/2/2015;Boeing Satellite Systems;USA;Cape Canaveral;Falcon 9
ABS-4;NR;Asia Broadcast Satellite Ltd.;Multinational;Commercial;Communications;3/13/2004;Space Systems/Loral;USA;Cape Canaveral;Atlas 3
ABS-6;NR;Asia Broadcast Satellite Ltd.;Multinational;Commercial;Communications;9/26/1999;Lockheed Martin;USA;Baikonur Cosmodrome;Proton
ABS-7;South Korea;Asia Broadcast Satellite Ltd.;Multinational;Commercial;Communications;9/4/1999;Lockheed Martin Astro Space;USA;Guiana Space Center;Ariane
USA 139;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;5/9/1998;TRW Space and Electronics;USA;Cape Canaveral;Titan IVA
USA 171;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;9/9/2003;TRW Space and Electronics;USA;Cape Canaveral;Titan IV
USA 202;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;1/18/2009;National Reconnaissance Laboratory (?);USA;Cape Canaveral;Delta 4 Heavy
USA 223;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;11/21/2010;National Reconnaissance Laboratory (?);USA;Cape Canaveral;Delta 4 Heavy
USA 237;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;6/29/2012;National Reconnaissance Laboratory (?);USA;Cape Canaveral;Delta 4 Heavy
USA 268;NR;National Reconnaissance Office (NRO);USA;Military;Earth Observation;6/11/2016;National Reconnaissance Laboratory (?);USA;Cape Canaveral;Delta 4 Heavy
USA 235;USA;US Air Force;USA;Military;Communications;5/3/2012;Lockheed Martin Space Systems;USA;Cape Canaveral;Atlas 5
USA 246;NR;US Air Force;USA;Military;Communications;9/18/2013;Lockheed Martin Space Systems;USA;Cape Canaveral;Atlas 5
Aeneas;USA;Department of Homeland Security;USA;Government;Technology Development;9/13/2012;University of Southern California;USA;Vandenberg AFB;Atlas 5
Aerocube 4.5A;USA;Aerospace Corporation;USA;Commercial;Technology Development;9/13/2012;Aerospace Corporation;USA;Vandenberg AFB;Atlas 5
Aerocube 4.5B;USA;Aerospace Corporation;USA;Commercial;Technology Development;9/13/2012;Aerospace Corporation;USA;Vandenberg AFB;Atlas 5
Aerocube 5A;NR;Aerospace Corporation;USA;Commercial;Technology Development;12/6/2013;Aerospace Corporation;USA;Vandenberg AFB;Atlas 5
Aerocube 5B;NR;Aerospace Corporation;USA;Commercial;Technology Development;12/6/2013;Aerospace Corporation;USA;Vandenberg AFB;Atlas 5
Aerocube 5C;NR;Aerospace Corporation;USA;Commercial;Technology Development;10/8/2015;Aerospace Corporation;USA;Vandenberg AFB;Atlas 5
Aerocube 6A;NR;Aerospace Corporation;USA;Commercial;Technology Development;6/19/2014;Aerospace Corporation;USA;Dombarovsky Air Base;Dnepr
Aerocube 6B;NR;Aerospace Corporation;USA;Commercial;Technology Development;6/19/2014;Aerospace Corporation;USA;Dombarovsky Air Base;Dnepr
Aerocube 7A;NR;Aerospace Corporation;USA;Commercial;Technology Development;10/8/2015;Aerospace Corporation;USA;Vandenberg AFB;Atlas 5
Aerocube 8A;NR;Aerospace Corporation;USA;Commercial;Technology Development;5/20/2015;Aerospace Corporation;USA;Cape Canaveral;Atlas 5
Aerocube 8B;NR;Aerospace Corporation;USA;Commercial;Technology Development;5/20/2015;Aerospace Corporation;USA;Cape Canaveral;Atlas 5
Eutelsat 28B;France;European Telecommunications Satellite Consortium (EUTELSAT);Multinational;Commercial;Communications;12/20/2008;EADS Astrium;France;Guiana Space Center;Ariane 5
Afristar ;USA;1Worldspace;USA;Commercial;Communications;10/28/1998;Matra Marconi Space-France;France;Guiana Space Center;Ariane 44L
AIM;USA;Center for Atmospheric Sciences, Hampton University/NASA;USA;Government;Earth Observation;4/25/2007;Orbital Sciences Corp.;USA;Vandenberg AFB;Pegasus XL
AISat-1;Germany;German Aerospace Center (DLR);Germany;Government;Communications;6/30/2014;German Aerospace Center (DLR);Germany;Satish Dhawan Space Center;PSLV-CA
AISSat-1;Norway;Norwegian Coastal Admnistration;Norway;Government;Communications;7/12/2010;Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies;Canada;Satish Dhawan Space Center;PSLV
AISSat-2;Norway;Norwegian Coastal Admnistration;Norway;Government;Communications;7/8/2014;Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies;Norway/Canada;Baikonur Cosmodrome;Soyuz-2.1b
AIST-1;Russia;Samara State Aerospace University, SGAU;Russia;Civil;Technology Development;12/28/2013;TsSKB Progress;Russia;Plesetsk Cosmodrome;Soyuz 2,1v
AIST-2;Russia;Samara State Aerospace University, SGAU;Russia;Civil;Technology Development;4/19/2013;Samara State Aerospace University, SGAU;Russia;Baikonur Cosmodrome;Soyuz 2.1a
AIST-2D;NR;Samara State Aerospace University;Russia;Civil;Technology Development;4/27/2016;Samara State Aerospace University/TsSKB Progress;Russia;Vostochny Cosmodrome;Soyuz 2.1a
ALiCE;NR;US Air Force Institute of Technology;USA;Military;Technology Development;12/6/2013;US Air Force Institute of Technology;USA;Vandenberg AFB;Atlas 5
Alphasat I-XL;United Kingdom;INMARSAT, Ltd./European Space Agency;United Kingdom/ESA;Commercial/Government;Communications/Technology Development;7/25/2013;Astrium;France/UK/Germany/Spain;Guiana Space Center;Ariane 5 ECA
Alsat-2A;Algeria;Centre National des Techniques Spatiales (CNTS);Algeria;Government;Earth Observation;7/12/2010;EADS Astrium;France/UK/Germany/Spain;Satish Dhawan Space Center;PSLV
Amazonas-1;Brazil;Hispamar (subsidiary of Hispasat - Spain);Spain;Commercial;Communications;8/4/2004;EADS Astrium;France/UK/Germany/Spain;Baikonur Cosmodrome;Proton M
Amazonas-2;Brazil;Hispamar (subsidiary of Hispasat - Spain);Spain;Commercial;Communications;10/1/2009;EADS Astrium;France/UK/Germany/Spain;Guiana Space Center;Ariane 5
Amazonas-3;Brazil;Hispamar (subsidiary of Hispasat - Spain);Spain;Commercial;Communications;2/7/2013;Space Systems/Loral;USA;Guiana Space Center;Ariane 5 ECA
Amazonas-4A;NR;Hispamar (subsidiary of Hispasat - Spain);Spain;Commercial;Communications;3/22/2014;Orbital Sciences Corp.;USA;Guiana Space Center;Ariane 5 ECA
AMC-1;USA;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));USA;Commercial;Communications;9/8/1996;Lockheed Martin Commercial Space Systems;USA;Cape Canaveral;Atlas 2A
AMC-10;USA;SES World Skies;USA;Commercial;Communications;2/5/2004;Lockheed Martin;USA;Cape Canaveral;Atlas 2AS
AMC-11;USA;SES World Skies;USA;Commercial;Communications;5/19/2004;Lockheed Martin;USA;Cape Canaveral;Atlas 2AS
AMC-15;USA;SES World Skies;USA;Commercial;Communications;10/14/2004;Lockheed Martin;USA;Baikonur Cosmodrome;Proton M
AMC-16;USA;SES World Skies;USA;Commercial;Communications;12/17/2004;Lockheed Martin Commercial Space Systems;USA;Cape Canaveral;Atlas 5
AMC-18;USA;SES World Skies;USA;Commercial;Communications;12/8/2006;Lockheed Martin Missiles and Space;USA;Guiana Space Center;Ariane 5
AMC-2;USA;SES World Skies;USA;Commercial;Communications;1/30/1997;Lockheed Martin Commercial Space Systems;USA;Guiana Space Center;Ariane 44L
AMC-21;United Kingdom;SES World Skies;USA;Commercial;Communications;8/14/2008;Orbital Sciences Corp.;USA;Guiana Space Center;Ariane 5 ECA
AMC-3;USA;SES World Skies;USA;Commercial;Communications;9/4/1997;Lockheed Martin Commercial Space Systems;USA;Cape Canaveral;Atlas 2AS
AMC-4;USA;SES World Skies;USA;Commercial;Communications;11/13/1999;Lockheed Martin Commercial Space Systems;USA;Guiana Space Center;Ariane 44LP
AMC-6;USA;SES World Skies;USA;Commercial;Communications;10/22/2000;Lockheed Martin Commercial Space Systems;USA;Baikonur Cosmodrome;Proton K
AMC-7;USA;SES World Skies;USA;Commercial;Communications;9/14/2000;Lockheed Martin Commercial Space Systems;USA;Guiana Space Center;Ariane 5G
AMC-8;USA;SES World Skies;USA;Commercial;Communications;12/19/2000;Lockheed Martin Commercial Space Systems;USA;Guiana Space Center;Ariane 5G
AMC-9;USA;SES World Skies;USA;Commercial;Communications;6/7/2003;Alcatel Space Industries;France;Baikonur Cosmodrome;Proton K
Amos 2;NR;Israel Aircraft Industries;Israel;Military/Commercial;Communications;12/27/2003;Israel Aircraft Industries (IAI);Israel;Baikonur Cosmodrome;Soyuz-Fregat 
Amos 3;NR;Space-Communication Ltd;Israel;Military/Commercial;Communications;4/28/2008;Israel Aircraft Industries (IAI);Israel;Baikonur Cosmodrome;Zenit 3SLB
Amos 4;NR;Space-Communication Ltd;Israel;Military/Commercial;Communications;8/31/2013;Israel Aircraft Industries (IAI);Israel;Baikonur Cosmodrome;Zenit 2SB
Amos 5;NR;Space-Communication Ltd;Israel;Military/Commercial;Communications;12/11/2011;OAO ISS;Russia;Baikonur Cosmodrome;Proton M
Amsat-Oscar 7;USA;Amsat-NA;USA;Civil;Communications;11/15/1974;Amsat-NA;USA;Vandenberg AFB;Delta 2310
Anik F1;Canada;Telesat Canada Ltd. (BCE, Inc.);Canada;Commercial;Communications;11/21/2000;Boeing Satellite Systems;USA;Guiana Space Center;Ariane 44L
Anik F1R;Canada;Telesat Canada Ltd. (BCE, Inc.);Canada;Commercial;Communications;9/9/2005;EADS Astrium;France/UK/Germany/Spain;Baikonur Cosmodrome;Proton M
Anik F2;Canada;Telesat Canada Ltd. (BCE, Inc.);Canada;Commercial;Communications;7/18/2004;Boeing Satellite Systems;USA;Guiana Space Center;Ariane 5
Anik F3;Canada;Telesat Canada Ltd. (BCE, Inc.);Canada;Commercial;Communications;4/9/2007;EADS Astrium;France/UK/Germany/Spain;Baikonur Cosmodrome;Proton M
Anik G1;NR;Telesat Canada Ltd. (BCE, Inc.);Canada;Commercial;Communications;4/15/2013;Space Systems/Loral;USA;Baikonur Cosmodrome;Proton M
AntelSat;NR;Facultad de IngenierÃ­a de la Universidad de la RepÃºblica (FING), ANTEL;Uruguay;Civil;Technology Development;6/19/2014;Facultad de IngenierÃ­a de la Universidad de la RepÃºblica (FING), ANTEL;Uruguay;Dombarovsky Air Base;Dnepr
AprizeSat 1;USA;Aprize Satellites Argentina;Argentina;Commercial;Communications/Technology Development;6/29/2004;Aprize Satellite ;Argentina;Baikonur Cosmodrome;Dnepr 1
AprizeSat 10;NR;Aprize Satellite;USA/Argentina;Commercial;Communications/Maritime Tracking;6/19/2014;SpaceQuest;USA;Dombarovsky Air Base;Dnepr
AprizeSat 2;USA;Aprize Satellites Argentina;Argentina;Commercial;Communications/Technology Development;6/29/2004;Aprize Satellite ;Argentina;Baikonur Cosmodrome;Dnepr 1
AprizeSat 3;USA;Aprize Satellite;USA/Argentina;Commercial;Communications/Maritime Tracking;7/29/2009;SpaceQuest;USA;Baikonur Cosmodrome;Dnepr
AprizeSat 4;USA;Aprize Satellite;USA/Argentina;Commercial;Communications/Maritime Tracking;7/29/2009;SpaceQuest;USA;Baikonur Cosmodrome;Dnepr
AprizeSat 5;USA;AprizeSat;Canada;Commercial;Communications;8/17/2011;SpaceQuest;USA;Dombarovsky Air Base;Dnepr 1
AprizeSat 7;USA;AprizeSat;Canada;Commercial;Communications;11/21/2013;SpaceQuest;USA;Dombarovsky Air Base;Dnepr
AprizeSat 8;NR;Aprize Satellite;USA/Argentina;Commercial;Communications/Maritime Tracking;11/21/2013;SpaceQuest;USA;Dombarovsky Air Base;Dnepr
AprizeSat 9;NR;exactEarth;Canada;Commercial;Communications/Maritime Tracking;6/19/2014;SpaceQuest;USA;Dombarovsky Air Base;Dnepr
Apstar 1A;China;APT Satellite Holdings Ltd.;China;Commercial;Communications;7/3/1996;Hughes;USA;Xichang Satellite Launch Center;Long March 3
Apstar 6;China;APT Satellite Holdings Ltd.;China;Commercial;Communications;4/12/2005;Alcatel Space Industries;France;Xichang Satellite Launch Center;Long March 3B
Apstar 7;China;APT Satellite Holdings Ltd.;China;Commercial;Communications;3/31/2012;Thales Alenia Space;France/Italy;Xichang Satellite Launch Center;Long March 3B
Apstar 9;China;APT Satellite Holdings Ltd.;China;Commercial;Communications;10/16/2015;China Academy of Space Technology (CAST);China;Xichang Satellite Launch Center;Long March 3B
Apstar 9A;China;APT Satellite Holdings Ltd.;China;Commercial;Communications;5/30/1998;Lockheed Martin;USA;Xichang Satellite Launch Center;Long March 3B
Arabsat 5C;NR;Arab Satellite Communications Org. (ASCO);Multinational;Government;Communications;9/21/2011;Astrium/Thales Alenia Space;France;Guiana Space Center;Arinae 5 ECA
Arabsat 7F;Canada;Arab Satellite Communications Org. (ASCO);Multinational;Commercial;Communications;5/20/1999;Lockheed Martin/Spar Aerospace;USA/Canada;Baikonur Cosmodrome;Proton D
ARC-1;NR;University of Alaska-Fairbanks;USA;Civil;Technology Development;10/8/2015;University of Alaska-Fairbanks;USA;Cape Canaveral;Atlas 5
ArSat 1;Argentina;ArSat;Argentina;Commercial;Communications;10/16/2014;INVAP S.E.;Argentina;Guiana Space Center;Ariane 5 ECA
ArSat 2;Argentina;ArSat;Argentina;Commercial;Communications;9/30/2015;INVAP S.E.;Argentina;Guiana Space Center;Ariane 5 ECA
Advanced Data Relay and Technology Mission Satellite (Artemis) ;ESA;European Space Agency;ESA;Commercial/Government;Communications/Technology Development;7/12/2001;Alenia Spazio;Italy;Guiana Space Center;Ariane 5G
AsiaSat-3S;China;Asia Satellite Telecommunications Co. Ltd. ;China;Commercial;Communications;3/21/1999;Boeing Satellite Systems;USA;Baikonur Cosmodrome;Proton K
AsiaSat-4;China;Asia Satellite Telecommunications Co. Ltd.;China;Commercial;Communications;4/12/2003;Boeing Satellite Systems;USA;Cape Canaveral;Atlas 3B
AsiaSat-5;China;Asia Satellite Telecommunications Co. Ltd.;China;Commercial;Communications;8/11/2009;Space Systems/Loral;USA;Baikonur Cosmodrome;Breeze M
AsiaSat-6;China;Asia Satellite Telecommunications Co. Ltd.;China;Commercial;Communications;9/7/2014;Space Systems/Loral;USA;Cape Canaveral;Falcon 9
AsiaSat-7;China;Asia Satellite Telecommunications Co. Ltd. ;China;Commercial;Communications;11/25/2011;Space Systems/Loral;USA;Baikonur Cosmodrome;Proton M
AsiaSat-8;China;Asia Satellite Telecommunications Co. Ltd. ;China;Commercial;Communications;8/5/2014;Space Systems/Loral;USA;Cape Canaveral;Falcon 9
AsiaStar;USA;1Worldspace;USA;Commercial;Communications;3/21/2000;Alcatel Space Industries;France;Guiana Space Center;Ariane 5G
ASNARO-1;Japan;Ministry of Economy, Trade and Industry;Japan;Government;Earth Observation;11/6/2014;NEC;Japan;Dombarovsky Air Base;Dnepr
Astra 1D;Luxembourg;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;11/1/1994;Hughes;USA;Guiana Space Center;Ariane 42P
Astra 1F;Luxembourg;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;4/18/1996;Hughes;USA;Baikonur Cosmodrome;Proton K
Astra 1G;Luxembourg;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;12/2/1997;Hughes;USA;Baikonur Cosmodrome;Proton K
Astra 1H;Luxembourg;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;6/18/1999;Hughes;USA;Baikonur Cosmodrome;Proton D
Astra 1KR;Luxembourg;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;4/20/2006;Lockheed Martin Commercial Space Systems;USA;Cape Canaveral;Atlas 5
Astra 1L;Luxembourg;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;5/4/2007;Lockheed Martin Commercial Space Systems;USA;Guiana Space Center;Ariane 5 ECA
Astra 1M;Luxembourg;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;11/5/2008;EADS Astrium;France;Baikonur Cosmodrome;Proton M
Astra 1N;Luxembourg;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;8/6/2011;EADS Astrium;France;Guiana Space Center;Ariane 5 ECA
Astra 2A;Luxembourg;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;8/30/1998;Hughes;USA;Baikonur Cosmodrome;Proton K
Astra 2B;Luxembourg;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;9/14/2000;Astrium;France/UK/Germany;Guiana Space Center;Ariane 5G
Astra 2C;Luxembourg;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;6/16/2001;Boeing Satellite Systems;USA;Baikonur Cosmodrome;Proton K
Astra 2D;Luxembourg;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;12/19/2000;Hughes;USA;Guiana Space Center;Ariane 5G
Astra 2E;Luxembourg;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;9/29/2013;EADS Astrium;France;Baikonur Cosmodrome;Proton M
Astra 2F;Luxembourg;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;9/28/2012;EADS Astrium;France/UK/Germany;Guiana Space Center;Ariane 5 ECA
Astra 2G;NR;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;12/27/2014;Airbus Defense and Space;Germany/France;Baikonur Cosmodrome;Proton-M
Astra 3A;Luxembourg;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;3/29/2002;Boeing Satellite Systems;USA;Guiana Space Center;Ariane 44L
Astra 3B;Luxembourg;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;5/21/2010;EADS Astrium;France/UK/Germany/Spain;Guiana Space Center;Ariane 5 ECA
Astra 5B;Luxembourg;SES (SociÃ©tÃ© EuropÃ©enne des Satellites (SES));Luxembourg;Commercial;Communications;3/22/2014;EADS Astrium;France;Guiana Space Center;Ariane 5 ECA
Astrosat;NR;Telemetry Tracking and Command Network (ISTRAC) Centre;India;Government;Space Science;9/28/2015;Indian Space Research Organization (ISRO);India;Satish Dhawan Space Centre;PSLV C-30
Athena-Fidus;France;Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI);France/Italy;Government/Military;Communications;2/6/2014;Thales Alenia Space;France;Guiana Space Center;Ariane 5 ECA
Athenoxat-1;NR;Microspace Rapid Pvt Ltd.;Singapore;Commercial;Technology Development;12/16/2015;Microspace Rapid Pvt Ltd.;Singapore;Satish Dhawan Space Center;PSLV-C29
Aurora;Russia;Sputnix Ltd.;Russia;Commercial;Technology Development;6/19/2014;Sputnix Ltd.;Russia;Dombarovsky Air Base;Dnepr
Azerspace/Africasat-1a;Azerbaijan;Ministry of Communications and Information Technologies;Azerbaijan;Government;Communications;2/7/2013;Orbital Sciences Corp.;USA;Guiana Space Center;Ariane 5 ECA
Badr 4;NR;Arab Satellite Communications Org. (ASCO);Multinational;Government;Communications;11/8/2006;EADS Astrium;France/UK/Germany/Spain;Baikonur Cosmodrome;Proton M
Badr 5;NR;Arab Satellite Communications Org. (ASCO);Multinational;Government;Communications;6/3/2010;EADS Astrium;France/UK/Germany/Spain;Baikonur Cosmodrome;Proton
Badr 5A;NR;Arab Satellite Communications Org. (ASCO);Multinational;Government;Communications;6/26/2010;EADS Astrium;France/UK/Germany/Spain;Guiana Space Center;Ariane 5 ECA
Badr 6;NR;Arab Satellite Communications Org. (ASCO);Multinational;Government;Communications;7/7/2008;EADS Astrium;France/UK/Germany/Spain;Guiana Space Center;Ariane 5 ECA
Badr 7;NR;Arab Satellite Communications Org. (ASCO);Multinational;Government;Communications;11/10/2015;Airbus Defense and Space;France/UK/Germany/Spain;Guiana Space Center;Ariane 5
Cosmos 2503;Russia;Ministry of Defense;Russia;Military;Earth Observation;2/27/2015;Progress Rocket and Space Center;Russia;Plesetsk Cosmodrome;Soyuz-2.1b
Cosmos 2515;NR;Ministry of Defense;Russia;Military;Earth Observation;3/24/2016;Progress Rocket and Space Center;Russia;Plesetsk Cosmodrome;Soyuz 2.1a
BeeSat-1;Germany;Institut fÃ¼r Luft- und Raumfahrt;Germany;Civil;Technology Development;9/23/2009;TechnischeÂ UniversitÃ¤tÂ Berlin;Germany;Satish Dhawan Space Center;PSLV
BeeSat-2;Germany;Institut fÃ¼r Luft- und Raumfahrt;Germany;Civil;Technology Development;4/19/2013;TechnischeÂ UniversitÃ¤tÂ Berlin;Germany;Baikonur Cosmodrome;Soyuz 2.1a
BeeSat-3;Germany;Institut fÃ¼r Luft- und Raumfahrt;Germany;Civil;Technology Development;4/19/2013;TechnischeÂ UniversitÃ¤tÂ Berlin;Germany;Baikonur Cosmodrome;Soyuz 2.1a
Beidou 2-12;China;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;4/28/2012;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3B
Beidou 2-13;China;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;4/28/2012;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3B
Beidou 2-14;China;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;9/18/2012;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3B
Beidou 2-15;China;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;9/18/2012;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3B
Beidou 2-16;China;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;10/25/2012;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3C
Beidou 2-23;NR;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;6/12/2016;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3C
Beidou 3I-1S;China;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;3/30/2015;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3C
Beidou 3I-2S;NR;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;9/29/2015;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3B
Beidou 3M-1S;NR;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;7/25/2015;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3B
Beidou 3M-2S;NR;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;7/25/2015;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3B
Beidou 3M-3S;NR;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;2/1/2016;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3C
Beidou G-1;China;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;1/16/2010;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3C
Beidou G3;China;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;6/2/2010;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3
Beidou G4;China;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;10/31/2010;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3C
Beidou G5;China;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;2/24/2012;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3A
Beidou IGSO-1;China;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;7/31/2010;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3A
Beidou IGSO-2;China;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;12/17/2010;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3A
Beidou IGSO-3;China;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;4/9/2011;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3A
Beidou IGSO-4;China;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;7/26/2011;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3A
Beidou IGSO-5;China;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;12/1/2011;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3A
Beidou IGSO-6;NR;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;3/30/2016;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3A
Beidou M1;China;Chinese Defense Ministry;China;Military/Government;Navigation/Global Positioning;4/14/2007;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3A
BeijinGalaxy-1;China;Beijing Landview Mapping Information Technology Co. Ltd (BLMIT);China;Civil;Earth Observation;10/27/2005;Tsinghua University/University of Surrey;China/United Kingdom;Plesetsk Cosmodrome;Kosmos 3M
Belintersat-1;NR;Belintersat;Belarus;Government;Communications;1/15/2016;Chinese Academy of Space Technology/Thales Alenia Space;China/France;Xichang Satellite Launch Center;Long March 3B
BermudaSat-1;USA;Echostar Technologies, LLC - leased to Bermuda, operated by SES Satellites;USA;Commercial;Communications;7/14/2000;Space Systems/Loral;USA;Cape Canaveral;Atlas 2AS
Bispectral InfraRed Detector 2 (Bird 2);Germany;Institute of Space Sensor Technology and Planetary Exploration;Germany;Government/Civil;Earth Observation/Technology Development;10/22/2001;Deutsches Zentrum fÃ¼r Luft- und Raumfahrt;Germany;Satish Dhawan Space Centre;PSLV C3
BIROS;NR;German Aerospace Center (DLR);Germany;Government;Earth Observation;6/22/2016;German Aerospace Center (DLR);Germany;Satish Dhawan Space Centre;PSLV XL
BisonSat;NR;Salish Kootenai College;USA;Civil;Earth Observation/Technology Development;10/8/2015;Salish Kootenai College;USA;Cape Canaveral;Atlas 5
BKA 2;Belarus;National Academy of Sciences;Belarus;Government;Earth Observation;7/22/2012;NPO VNIIEM;Russia;Baikonur Cosmodrome;Soyuz-Fregat
Brazilsat B-2;Brazil;Star One (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]);Brazil;Military/Commercial;Communications;3/28/1995;Boeing Satellite Systems;USA;Guiana Space Center;Ariane 44LP
Brazilsat B-3;Brazil;Star One (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]);Brazil;Commercial;Communications;2/4/1998;Boeing Satellite Systems;USA;Guiana Space Center;Ariane 44LP
