Nom.officiel.du.satellite;Organisation.de.pays.du.registre.de.l'ONU;Opérateur.propriétaire;Pays.de.l'opérateur.propriétaire;Utilisateurs;Objectif;Date.de.lancement;fournisseur;Pays.du.fournisseur;Site.de.lancement;Véhicule.de.lancement
Galileo FOC FM4;NR;European Space Agency;ESA;Commercial;Navigation/Global Positioning;3/27/2015;OHB-System GmbH, SSTL ;Germany/UK;Guiana Space Center;Soyuz-ST
Galileo FOC FM5;NR;European Space Agency;ESA;Commercial;Navigation/Global Positioning;9/11/2015;OHB-System GmbH, SSTL ;Germany/UK;Guiana Space Center;Soyuz-ST
Galileo FOC FM6;NR;European Space Agency;ESA;Commercial;Navigation/Global Positioning;9/11/2015;OHB-System GmbH, SSTL ;Germany/UK;Guiana Space Center;Soyuz-ST
Galileo FOC FM8;NR;European Space Agency;ESA;Commercial;Navigation/Global Positioning;12/17/2015;OHB-System GmbH, SSTL ;Germany/UK;Guiana Space Center;Soyuz-ST
Galileo FOC FM9;NR;European Space Agency;ESA;Commercial;Navigation/Global Positioning;12/17/2015;OHB-System GmbH, SSTL ;Germany/UK;Guiana Space Center;Soyuz-ST
Galileo IOV-1 FM2;NR;European Space Agency;ESA;Commerical;Navigation/Global Positioning;10/21/2011;Astrium/Thales Alenia Space;Germany/UK/Italy;Guiana Space Center;Soyuz-Fregat
Galileo IOV-1 PFM;NR;European Space Agency;ESA;Commercial;Navigation/Global Positioning;10/21/2011;Astrium/Thales Alenia Space;Germany/UK/Italy;Guiana Space Center;Soyuz-Fregat
Galileo IOV-2 FM3;NR;European Space Agency;ESA;Commercial;Navigation/Global Positioning;10/12/2012;EADS Astrium;Germany/UK/Italy;Guiana Space Center;Soyuz-Fregat
Galileo IOV-2 FM4;NR;European Space Agency;ESA;Commercial;Navigation/Global Positioning;10/12/2012;EADS Astrium;Germany/UK/Italy;Guiana Space Center;Soyuz-Fregat
Gaofen 1;China;Shanghai Academy of Spaceflight Technology (SAST);China;Government;Earth Observation;4/26/2013;Shanghai Academy of Space Flight Technology;China;Jiuquan Satellite Launch Center;Long March 2D
Gaofen 2;NR;Shanghai Academy of Spaceflight Technology (SAST);China;Government;Earth Observation;8/19/2014;Shanghai Academy of Space Flight Technology;China;Taiyuan Launch Center;Long March 4B
Gaofen 4;NR;China Aerospace Science and Technology Corporation (CASTC);China;Government;Earth Observation;12/28/2015;China Aerospace Science and Technology Corporation;China;Xichang Satellite Launch Center;Long March 3B
Gaofen 8;NR;Shanghai Academy of Spaceflight Technology (SAST);China;Government;Earth Observation;6/26/2015;Shanghai Academy of Space Flight Technology;China;Taiyuan Launch Center;Long March 4B
Gaofen 9;NR;China Aerospace Science and Technology Corporation (CASTC);China;Government;Earth Observation;9/14/2015;Shanghai Academy of Space Flight Technology;China;Jiuquan Satellite Launch Center;Long March 2D
Cosmos 2473;Russia;Ministry of Defense;Russia;Military;Communications;9/20/2011;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
Cosmos 2513;NR;Ministry of Defense;Russia;Military;Communications;12/10/2015;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
Garuda-1;Indonesia;Asia Cellular Satellite;Indonesia/Philippines/Thailand;Commercial;Communications;2/12/2000;Lockheed Martin Missiles and Space;USA;Baikonur Cosmodrome;Proton
GATOSS;NR;GomSpace ApS;Denmark;Commercial;Technology Development;11/21/2013;GomSpace/University of Aalborg;Denmark;Dombarovsky Air Base;Dnepr
GEARRSAT-2;NR;NearSpace Launch/Air Force Research Laboratory;USA;Government;Technology Development;5/20/2015;NearSpace Launch/Air Force Research Laboratory;USA;Cape Canaveral;Atlas 5
Genesis-1;USA;Bigelow Aerospace;USA;Commercial;Technology Development;7/12/2006;Bigelow Aerospace;USA;Dombarovsky Air Base;Dnepr
Genesis-2;USA;Bigelow Aerospace;USA;Commercial;Technology Development;6/28/2007;Bigelow Aerospace;USA;Dombarovsky Air Base;Dnepr
Cosmos 2517;NR;Ministry of Defense;Russia;Military;Earth Science;6/5/2016;ISS Reshetnev;Russia;Plesetsk Cosmodrome;Rokot
GeoEye-1;USA;DigitalGlobal Corporation;USA;Commercial/Government;Earth Observation;9/6/2008;General Dynamics;USA;Vandenberg AFB;Delta 2
Geomagnetic Tail Laboratory (Geotail);Japan;Institute of Space and Astronautical Science (ISAS)/NASA/ESA;Multinational;Government;Space Science;7/24/1992;NASA/Goddard Space Flight Center;USA;Cape Canaveral;Delta 2
GHGSat-D;NR;GHGSat, Inc.;Canada;Commercial;Earth Science;6/22/2016;University of Toronto, Institute for Aerospace Studies/ Space Flight Laboratory;Canada;Satish Dhawan;PSLV XL
